# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
9.2,10.4, 59,59.5, 1.1,1.2, 0.8,0.9, 0.8,0.85, 0.01,0.03, 7.71152e+17,7.20233
9.2,10.4, 60,60.5, 1.1,1.2, 0.8,0.9, 0.8,0.85, 0.01,0.03, 5.73139e+17,7.85586
16.4,17.6, 60,60.5, 2.4,2.6, 1.3,1.4, 0.8,0.85, 0.01,0.03, 7.56707e+17,7.22143
9.2,10.4, 60,60.5, 2.8,3, 1.5,2, 0.8,0.85, 0.01,0.03, 2.57646e+17,4.95048
11.6,12.8, 58,58.5, 3,3.5, 1.5,2, 0.8,0.85, 0.01,0.03, 9.48632e+16,5.96686
14,15.2, 59,59.5, 1.6,1.7, 0.8,0.9, 0.85,0.88, 0,0.01, 2.84836e+18,8.99942
14,15.2, 58,58.5, 1.5,1.6, 0.7,0.8, 0.8,0.85, 0,0.01, 1.68467e+18,9.27785
11.6,12.8, 57.5,58, 0.8,0.9, 0.4,0.5, 0.8,0.85, 0.01,0.03, 1.27126e+18,8.5048
17.6,18.8, 58,58.5, 1.1,1.2, 0.5,0.6, 0.8,0.85, 0.03,0.05, 8.27932e+17,8.90687
11.6,12.8, 58,58.5, 0.4,0.5, 0.2,0.3, 0.8,0.85, 0,0.01, 2.63012e+18,9.37957
18.8,20, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 8.06262e+18,6.61869
15.2,16.4, 60.5,61, 1,1.1, 0.7,0.8, 0.8,0.85, 0.01,0.03, 5.3014e+17,8.14218
15.2,16.4, 61,61.5, 1.1,1.2, 0.6,0.7, 0.85,0.88, 0,0.01, 3.37369e+18,7.66563
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.75,0.8, 0.03,0.05, 1.23518e+19,3.40033
9.2,10.4, 60.5,61, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 3.38006e+18,7.78491
10.4,11.6, 58,58.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 1.0823e+19,4.55059
14,15.2, 60.5,61, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 2.75178e+19,2.09962
12.8,14, 59,59.5, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 1.66933e+20,1.72206
10.4,11.6, 58,58.5, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 6.64704e+19,1.94074
9.2,10.4, 58,58.5, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 5.79686e+18,6.90113
18.8,20, 60.5,61, 0,0.1, 0,0.1, 0.91,0.92, 0.03,0.05, 4.80094e+19,4.31857
17.6,18.8, 58,58.5, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 3.62043e+19,3.95743
